MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,EXC
4,EXC
5,EXC
6,EXC
7,EXC
8,EXC
9,EXC
10,EXC
11,EXC
12,EXC
13,LIVE
14,LIVE
15,EXC
16,FAIL
17,EXC
18,LIVE
19,EXC
20,FAIL
21,EXC
22,EXC
23,FAIL
24,EXC
25,FAIL
26,EXC
27,EXC
28,EXC
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,LIVE
34,EXC
35,LIVE
36,EXC
37,FAIL
38,EXC
39,EXC
40,FAIL
41,FAIL
42,EXC
43,EXC
44,FAIL
45,EXC
46,FAIL
47,FAIL
48,FAIL
49,EXC
50,FAIL
51,FAIL
52,FAIL
53,FAIL
54,EXC
55,EXC
56,EXC
57,EXC
58,FAIL
59,LIVE
60,EXC
61,EXC
62,EXC
63,FAIL
64,LIVE
65,EXC
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,LIVE
72,FAIL
73,FAIL
74,EXC
75,FAIL
76,EXC
77,FAIL
78,FAIL
79,EXC
80,EXC
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,LIVE
99,LIVE
100,FAIL
101,FAIL
102,LIVE
103,FAIL
104,LIVE
105,LIVE
106,FAIL
107,LIVE
108,LIVE
109,LIVE
110,LIVE
111,LIVE
112,EXC
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,FAIL
118,LIVE
119,FAIL
120,FAIL
121,FAIL
122,FAIL
123,FAIL
124,FAIL
