MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,LIVE
3,FAIL
4,FAIL
5,LIVE
6,LIVE
7,LIVE
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,EXC
14,EXC
15,LIVE
16,FAIL
17,FAIL
18,EXC
19,EXC
20,FAIL
21,FAIL
22,LIVE
23,LIVE
24,FAIL
25,EXC
26,FAIL
27,LIVE
28,LIVE
29,EXC
30,FAIL
31,FAIL
32,EXC
33,FAIL
34,FAIL
35,EXC
36,FAIL
37,LIVE
38,EXC
39,FAIL
40,FAIL
41,EXC
42,EXC
43,FAIL
44,EXC
45,FAIL
46,FAIL
47,LIVE
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,LIVE
54,FAIL
55,FAIL
56,LIVE
57,EXC
58,EXC
59,LIVE
60,LIVE
61,EXC
62,LIVE
63,FAIL
64,EXC
65,LIVE
66,EXC
67,FAIL
68,EXC
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,LIVE
78,LIVE
79,FAIL
80,FAIL
81,FAIL
82,LIVE
83,FAIL
84,FAIL
85,EXC
86,EXC
87,TIME
88,FAIL
89,EXC
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,LIVE
96,EXC
97,EXC
98,FAIL
99,FAIL
100,EXC
101,FAIL
102,LIVE
