TestNo,TestName
1,com.google.javascript.jscomp.SanityCheckTest
2,com.google.javascript.jscomp.SourceMapTest
3,com.google.javascript.jscomp.GatherRawExportsTest
4,com.google.javascript.jscomp.ConstCheckTest
5,com.google.javascript.jscomp.DenormalizeTest
6,com.google.javascript.jscomp.CollapseAnonymousFunctionsTest
7,com.google.javascript.jscomp.RenamePropertiesTest
8,com.google.javascript.jscomp.ExternExportsPassTest
9,com.google.javascript.jscomp.FunctionInjectorTest
10,com.google.javascript.jscomp.CheckRequiresForConstructorsTest
11,com.google.javascript.jscomp.InlineVariablesConstantsTest
12,com.google.javascript.jscomp.NormalizeTest
13,com.google.javascript.jscomp.InlineVariablesTest
14,com.google.javascript.jscomp.CompilerRunnerTest
15,com.google.javascript.jscomp.InlineFunctionsTest
16,com.google.javascript.jscomp.CollapsePropertiesTest
