TestNo,TestName
1,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest
2,org.apache.commons.math.stat.descriptive.StatisticalSummaryValuesTest
3,org.apache.commons.math.stat.clustering.EuclideanIntegerPointTest
4,org.apache.commons.math.stat.descriptive.moment.VectorialMeanTest
5,org.apache.commons.math.fraction.FractionFieldTest
6,org.apache.commons.math.linear.SparseFieldVectorTest
7,org.apache.commons.math.analysis.solvers.RiddersSolverTest
8,org.apache.commons.math.linear.ArrayFieldVectorTest
9,org.apache.commons.math.optimization.fitting.HarmonicFitterTest
10,org.apache.commons.math.analysis.solvers.MullerSolverTest
11,org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest
12,org.apache.commons.math.stat.descriptive.moment.FirstMomentTest
13,org.apache.commons.math.stat.descriptive.moment.SecondMomentTest
14,org.apache.commons.math.stat.descriptive.moment.ThirdMomentTest
15,org.apache.commons.math.stat.descriptive.moment.FourthMomentTest
16,org.apache.commons.math.distribution.PascalDistributionTest
17,org.apache.commons.math.stat.descriptive.rank.MaxTest
18,org.apache.commons.math.analysis.solvers.LaguerreSolverTest
19,org.apache.commons.math.stat.descriptive.summary.SumSqTest
20,org.apache.commons.math.stat.descriptive.summary.SumTest
21,org.apache.commons.math.stat.descriptive.moment.MeanTest
22,org.apache.commons.math.stat.descriptive.moment.SkewnessTest
23,org.apache.commons.math.stat.descriptive.summary.SumLogTest
24,org.apache.commons.math.optimization.linear.SimplexTableauTest
25,org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest
26,org.apache.commons.math.stat.descriptive.moment.VarianceTest
27,org.apache.commons.math.linear.FieldLUDecompositionImplTest
28,org.apache.commons.math.stat.descriptive.moment.KurtosisTest
29,org.apache.commons.math.stat.descriptive.rank.MinTest
30,org.apache.commons.math.stat.descriptive.summary.ProductTest
31,org.apache.commons.math.stat.descriptive.moment.GeometricMeanTest
32,org.apache.commons.math.stat.descriptive.moment.StandardDeviationTest
33,org.apache.commons.math.linear.ArrayRealVectorTest
34,org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest
35,org.apache.commons.math.fraction.FractionFormatTest
36,org.apache.commons.math.linear.MatrixUtilsTest
37,org.apache.commons.math.stat.descriptive.SummaryStatisticsTest
38,org.apache.commons.math.fraction.FractionTest
39,org.apache.commons.math.stat.descriptive.MultivariateSummaryStatisticsTest
40,org.apache.commons.math.stat.descriptive.SynchronizedDescriptiveStatisticsTest
41,org.apache.commons.math.stat.descriptive.SynchronizedMultivariateSummaryStatisticsTest
42,org.apache.commons.math.linear.SparseFieldMatrixTest
43,org.apache.commons.math.fraction.BigFractionTest
44,org.apache.commons.math.linear.SparseRealMatrixTest
45,org.apache.commons.math.util.OpenIntToFieldTest
46,org.apache.commons.math.linear.RealMatrixImplTest
47,org.apache.commons.math.linear.Array2DRowRealMatrixTest
48,org.apache.commons.math.analysis.interpolation.MicrosphereInterpolatorTest
49,org.apache.commons.math.geometry.RotationTest
50,org.apache.commons.math.linear.FieldMatrixImplTest
51,org.apache.commons.math.complex.ComplexTest
52,org.apache.commons.math.optimization.linear.SimplexSolverTest
53,org.apache.commons.math.linear.BlockRealMatrixTest
54,org.apache.commons.math.distribution.HypergeometricDistributionTest
55,org.apache.commons.math.util.MathUtilsTest
56,org.apache.commons.math.linear.BlockFieldMatrixTest
