MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,FAIL
3,FAIL
4,FAIL
5,LIVE
6,FAIL
7,EXC
8,EXC
9,FAIL
10,FAIL
11,FAIL
12,LIVE
13,LIVE
14,LIVE
15,LIVE
16,LIVE
17,FAIL
18,FAIL
19,FAIL
20,LIVE
21,FAIL
22,FAIL
23,LIVE
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,LIVE
38,LIVE
39,LIVE
40,FAIL
41,LIVE
42,FAIL
43,LIVE
44,FAIL
45,FAIL
46,LIVE
47,FAIL
48,FAIL
49,LIVE
50,FAIL
51,FAIL
52,FAIL
53,FAIL
54,FAIL
55,LIVE
56,FAIL
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,LIVE
62,FAIL
63,FAIL
64,LIVE
65,FAIL
66,FAIL
67,FAIL
68,EXC
69,EXC
70,FAIL
71,EXC
72,FAIL
73,FAIL
74,FAIL
75,EXC
76,EXC
77,TIME
78,FAIL
79,LIVE
80,FAIL
81,LIVE
82,FAIL
83,LIVE
84,FAIL
85,LIVE
86,LIVE
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,FAIL
92,EXC
93,LIVE
94,EXC
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,LIVE
105,LIVE
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,LIVE
113,LIVE
114,LIVE
115,LIVE
116,FAIL
117,LIVE
118,FAIL
119,FAIL
120,LIVE
121,FAIL
122,LIVE
123,LIVE
124,LIVE
125,FAIL
126,LIVE
127,FAIL
128,FAIL
129,LIVE
130,LIVE
131,FAIL
132,LIVE
133,FAIL
134,LIVE
135,FAIL
136,FAIL
137,FAIL
138,LIVE
139,FAIL
140,FAIL
141,FAIL
142,LIVE
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,LIVE
148,FAIL
149,LIVE
150,LIVE
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,EXC
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,EXC
161,FAIL
162,FAIL
163,LIVE
164,FAIL
165,FAIL
166,EXC
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,LIVE
173,FAIL
174,FAIL
175,EXC
176,FAIL
177,EXC
178,EXC
179,EXC
180,FAIL
181,EXC
182,LIVE
183,EXC
184,FAIL
185,LIVE
186,EXC
187,EXC
188,FAIL
189,LIVE
190,EXC
191,FAIL
192,EXC
193,FAIL
194,FAIL
195,LIVE
196,FAIL
197,EXC
198,FAIL
199,EXC
200,EXC
201,EXC
202,EXC
203,EXC
204,EXC
205,EXC
206,FAIL
207,LIVE
208,EXC
209,LIVE
210,LIVE
211,EXC
212,EXC
213,LIVE
214,EXC
215,LIVE
216,EXC
217,LIVE
218,EXC
219,EXC
220,LIVE
221,LIVE
222,FAIL
223,EXC
224,EXC
225,FAIL
226,LIVE
227,EXC
228,EXC
229,LIVE
230,EXC
231,LIVE
232,FAIL
233,EXC
234,FAIL
235,LIVE
236,FAIL
237,LIVE
238,FAIL
239,LIVE
240,FAIL
241,LIVE
242,LIVE
243,FAIL
244,FAIL
245,LIVE
246,FAIL
247,FAIL
248,LIVE
249,FAIL
250,FAIL
251,FAIL
252,EXC
253,FAIL
254,LIVE
255,FAIL
256,LIVE
257,LIVE
258,EXC
259,LIVE
260,FAIL
261,EXC
262,TIME
263,FAIL
264,FAIL
265,FAIL
266,EXC
267,EXC
268,EXC
269,FAIL
270,EXC
271,EXC
272,LIVE
273,EXC
274,FAIL
275,LIVE
276,EXC
277,EXC
278,FAIL
279,EXC
280,EXC
281,FAIL
282,LIVE
283,LIVE
284,LIVE
285,EXC
286,LIVE
287,LIVE
288,LIVE
289,LIVE
290,EXC
294,LIVE
295,LIVE
296,EXC
297,LIVE
298,EXC
299,FAIL
300,FAIL
301,LIVE
302,EXC
303,FAIL
304,FAIL
305,FAIL
306,FAIL
307,EXC
308,EXC
309,EXC
310,EXC
311,EXC
312,FAIL
313,FAIL
314,FAIL
315,FAIL
316,EXC
317,EXC
318,EXC
319,EXC
320,EXC
321,EXC
322,FAIL
323,EXC
324,FAIL
325,EXC
326,LIVE
327,EXC
328,EXC
329,EXC
330,FAIL
331,EXC
332,EXC
333,LIVE
334,FAIL
335,LIVE
336,EXC
337,EXC
338,FAIL
339,LIVE
340,EXC
341,FAIL
342,FAIL
343,EXC
344,EXC
345,FAIL
346,FAIL
347,FAIL
348,EXC
349,FAIL
350,EXC
351,FAIL
352,FAIL
353,EXC
354,EXC
355,FAIL
356,EXC
357,EXC
358,FAIL
359,EXC
360,LIVE
361,LIVE
362,FAIL
363,FAIL
364,EXC
365,TIME
366,EXC
367,TIME
368,FAIL
369,FAIL
370,FAIL
371,FAIL
372,FAIL
373,EXC
374,FAIL
375,LIVE
376,FAIL
377,EXC
378,FAIL
379,FAIL
380,FAIL
381,FAIL
382,FAIL
383,FAIL
384,FAIL
385,LIVE
386,EXC
387,EXC
388,LIVE
389,TIME
390,TIME
391,FAIL
392,LIVE
393,FAIL
394,LIVE
395,LIVE
396,FAIL
397,EXC
398,EXC
399,EXC
400,FAIL
401,FAIL
402,LIVE
403,FAIL
404,FAIL
405,EXC
406,LIVE
407,LIVE
408,LIVE
409,FAIL
410,LIVE
411,EXC
412,FAIL
413,LIVE
414,EXC
415,FAIL
416,EXC
417,EXC
418,FAIL
419,FAIL
420,EXC
421,FAIL
422,FAIL
423,EXC
424,EXC
425,EXC
426,EXC
427,EXC
428,EXC
429,EXC
430,EXC
431,EXC
432,EXC
433,EXC
434,EXC
435,EXC
436,LIVE
437,FAIL
438,EXC
439,LIVE
440,FAIL
441,LIVE
442,EXC
443,EXC
444,LIVE
445,LIVE
446,FAIL
447,LIVE
448,LIVE
449,LIVE
450,EXC
451,FAIL
452,EXC
453,FAIL
454,LIVE
455,LIVE
456,LIVE
457,LIVE
458,FAIL
459,LIVE
460,EXC
461,FAIL
462,FAIL
463,FAIL
464,LIVE
465,LIVE
466,LIVE
467,EXC
468,EXC
469,EXC
470,EXC
471,EXC
472,EXC
473,FAIL
474,FAIL
475,FAIL
476,LIVE
477,TIME
478,FAIL
