MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,FAIL
3,EXC
4,EXC
5,FAIL
6,EXC
7,EXC
8,EXC
9,LIVE
10,EXC
11,EXC
12,FAIL
13,LIVE
14,EXC
15,LIVE
16,EXC
17,FAIL
18,EXC
19,EXC
20,EXC
21,EXC
22,LIVE
23,FAIL
24,FAIL
25,LIVE
26,LIVE
27,FAIL
28,LIVE
29,FAIL
30,LIVE
31,LIVE
32,FAIL
33,EXC
34,LIVE
35,FAIL
36,FAIL
37,LIVE
38,FAIL
39,LIVE
40,FAIL
41,FAIL
42,LIVE
43,LIVE
44,FAIL
45,LIVE
46,FAIL
47,LIVE
48,LIVE
49,FAIL
50,EXC
51,LIVE
52,FAIL
53,FAIL
54,LIVE
55,FAIL
56,LIVE
57,LIVE
58,LIVE
59,FAIL
60,LIVE
61,LIVE
62,FAIL
63,EXC
64,FAIL
65,EXC
66,FAIL
67,EXC
68,FAIL
69,LIVE
70,EXC
71,LIVE
72,EXC
73,LIVE
74,FAIL
75,LIVE
76,EXC
77,LIVE
78,EXC
79,LIVE
80,EXC
81,LIVE
82,FAIL
83,EXC
84,FAIL
85,EXC
86,FAIL
87,EXC
88,FAIL
89,LIVE
90,EXC
