MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,EXC
4,LIVE
5,LIVE
6,FAIL
7,EXC
8,LIVE
9,EXC
10,FAIL
11,EXC
12,EXC
13,EXC
14,EXC
15,EXC
16,EXC
17,LIVE
18,EXC
19,FAIL
20,LIVE
21,FAIL
22,EXC
23,LIVE
24,LIVE
25,EXC
26,EXC
27,EXC
28,EXC
29,LIVE
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,EXC
36,LIVE
37,EXC
38,FAIL
39,EXC
40,LIVE
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,EXC
46,EXC
47,EXC
48,EXC
49,EXC
50,EXC
51,FAIL
52,EXC
53,EXC
54,EXC
55,LIVE
56,FAIL
57,FAIL
58,EXC
59,LIVE
60,EXC
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,EXC
68,EXC
69,EXC
70,EXC
71,FAIL
72,FAIL
73,LIVE
74,EXC
75,LIVE
76,EXC
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
84,LIVE
85,FAIL
86,EXC
87,FAIL
88,EXC
89,LIVE
90,EXC
91,FAIL
92,FAIL
93,FAIL
94,EXC
95,FAIL
96,FAIL
97,EXC
98,FAIL
99,LIVE
100,EXC
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,EXC
108,EXC
109,FAIL
110,EXC
111,EXC
112,EXC
113,LIVE
114,EXC
115,FAIL
116,LIVE
117,EXC
118,FAIL
119,FAIL
120,EXC
121,LIVE
122,FAIL
123,FAIL
124,FAIL
125,FAIL
126,FAIL
127,FAIL
128,FAIL
129,LIVE
130,FAIL
131,EXC
132,FAIL
133,EXC
134,LIVE
135,EXC
136,FAIL
137,FAIL
138,FAIL
139,EXC
140,FAIL
141,FAIL
142,EXC
143,FAIL
144,LIVE
145,EXC
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,EXC
153,EXC
154,FAIL
155,EXC
156,EXC
157,EXC
158,LIVE
159,EXC
160,FAIL
161,LIVE
162,EXC
163,FAIL
164,FAIL
165,EXC
166,LIVE
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,LIVE
175,LIVE
176,LIVE
177,FAIL
178,EXC
179,FAIL
180,EXC
181,LIVE
182,EXC
183,FAIL
184,FAIL
185,EXC
186,LIVE
187,EXC
188,FAIL
189,FAIL
190,FAIL
191,EXC
192,FAIL
193,FAIL
194,EXC
195,FAIL
196,LIVE
197,EXC
198,FAIL
199,FAIL
200,EXC
201,LIVE
202,EXC
203,FAIL
204,FAIL
205,FAIL
206,FAIL
207,FAIL
208,FAIL
209,EXC
210,EXC
211,FAIL
212,EXC
213,EXC
214,EXC
215,LIVE
216,EXC
217,FAIL
218,LIVE
219,EXC
220,FAIL
221,EXC
222,LIVE
223,EXC
224,FAIL
225,FAIL
226,FAIL
227,EXC
228,LIVE
229,FAIL
230,FAIL
231,FAIL
232,EXC
233,LIVE
234,EXC
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,FAIL
240,FAIL
241,LIVE
