MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,FAIL
3,FAIL
4,LIVE
5,FAIL
6,FAIL
7,EXC
8,FAIL
9,EXC
10,FAIL
11,EXC
12,FAIL
13,LIVE
14,LIVE
15,FAIL
16,EXC
17,EXC
18,FAIL
19,FAIL
20,EXC
21,LIVE
22,EXC
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,EXC
31,FAIL
32,FAIL
33,EXC
34,EXC
35,FAIL
36,FAIL
37,FAIL
38,LIVE
39,FAIL
40,FAIL
41,FAIL
42,LIVE
43,FAIL
44,FAIL
45,EXC
46,LIVE
47,LIVE
48,LIVE
49,FAIL
50,EXC
51,EXC
52,FAIL
53,EXC
54,EXC
55,LIVE
56,FAIL
57,EXC
58,EXC
59,FAIL
60,FAIL
61,EXC
62,TIME
63,FAIL
64,LIVE
65,LIVE
66,FAIL
67,LIVE
68,LIVE
69,FAIL
70,EXC
71,FAIL
72,FAIL
73,FAIL
74,LIVE
75,FAIL
76,EXC
77,FAIL
78,FAIL
79,EXC
80,TIME
81,EXC
82,LIVE
83,LIVE
84,LIVE
85,FAIL
86,EXC
87,EXC
88,EXC
89,FAIL
90,EXC
91,FAIL
92,LIVE
93,EXC
94,EXC
95,EXC
96,FAIL
97,EXC
98,EXC
99,EXC
100,EXC
101,FAIL
102,FAIL
103,EXC
104,TIME
105,FAIL
106,LIVE
107,LIVE
108,FAIL
109,LIVE
110,FAIL
111,EXC
112,FAIL
113,LIVE
114,EXC
115,EXC
116,EXC
117,FAIL
118,EXC
119,EXC
120,EXC
121,FAIL
122,FAIL
123,FAIL
124,LIVE
125,FAIL
126,EXC
127,FAIL
128,FAIL
129,EXC
130,TIME
131,FAIL
132,EXC
133,EXC
134,LIVE
135,LIVE
136,LIVE
137,FAIL
138,EXC
139,EXC
140,FAIL
141,EXC
142,LIVE
143,EXC
144,FAIL
145,FAIL
146,EXC
147,FAIL
148,EXC
149,FAIL
150,EXC
151,FAIL
152,FAIL
153,FAIL
154,EXC
155,FAIL
156,FAIL
157,FAIL
158,LIVE
159,EXC
160,EXC
161,EXC
162,LIVE
163,FAIL
164,FAIL
165,FAIL
166,LIVE
167,EXC
168,EXC
169,EXC
170,LIVE
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,EXC
178,FAIL
179,EXC
180,FAIL
181,FAIL
182,FAIL
183,LIVE
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,FAIL
192,FAIL
193,FAIL
194,FAIL
195,FAIL
196,FAIL
197,FAIL
198,TIME
199,FAIL
200,FAIL
201,TIME
202,FAIL
203,LIVE
204,FAIL
205,FAIL
206,EXC
207,EXC
208,EXC
209,EXC
210,EXC
211,FAIL
212,FAIL
213,FAIL
214,FAIL
215,LIVE
216,LIVE
217,FAIL
218,LIVE
219,LIVE
220,LIVE
221,FAIL
222,FAIL
223,LIVE
224,FAIL
225,FAIL
226,EXC
227,FAIL
228,FAIL
229,FAIL
230,EXC
231,FAIL
232,FAIL
233,FAIL
234,LIVE
235,EXC
236,EXC
237,EXC
238,LIVE
239,FAIL
240,FAIL
241,FAIL
242,EXC
243,EXC
244,EXC
245,EXC
246,EXC
247,FAIL
248,FAIL
249,FAIL
250,EXC
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,FAIL
256,FAIL
257,FAIL
258,EXC
259,EXC
260,EXC
261,EXC
262,EXC
263,FAIL
264,FAIL
265,FAIL
266,FAIL
267,FAIL
268,FAIL
269,FAIL
270,EXC
271,EXC
272,EXC
273,EXC
274,EXC
275,FAIL
276,FAIL
277,EXC
278,LIVE
279,LIVE
280,EXC
281,FAIL
282,LIVE
283,FAIL
284,FAIL
285,TIME
286,FAIL
287,FAIL
288,FAIL
289,FAIL
290,LIVE
291,FAIL
292,FAIL
293,EXC
294,EXC
295,EXC
296,FAIL
297,FAIL
298,FAIL
299,FAIL
300,EXC
301,LIVE
302,EXC
303,FAIL
304,FAIL
305,EXC
306,LIVE
307,EXC
308,FAIL
309,FAIL
310,FAIL
311,FAIL
312,FAIL
313,FAIL
314,EXC
315,EXC
316,LIVE
317,FAIL
318,FAIL
319,FAIL
320,EXC
321,LIVE
322,LIVE
323,LIVE
324,FAIL
325,LIVE
326,EXC
327,LIVE
328,EXC
329,FAIL
330,EXC
331,EXC
332,EXC
333,EXC
334,FAIL
335,LIVE
336,LIVE
337,LIVE
338,FAIL
339,LIVE
340,EXC
341,LIVE
342,EXC
343,FAIL
344,FAIL
345,LIVE
346,EXC
347,LIVE
348,EXC
349,FAIL
350,FAIL
351,EXC
352,LIVE
353,EXC
354,FAIL
355,FAIL
356,FAIL
357,FAIL
358,FAIL
359,FAIL
360,EXC
361,FAIL
362,EXC
363,EXC
364,EXC
365,FAIL
366,FAIL
367,FAIL
368,FAIL
369,EXC
370,LIVE
371,EXC
372,FAIL
373,FAIL
374,EXC
375,LIVE
376,EXC
377,FAIL
378,FAIL
379,FAIL
380,FAIL
381,FAIL
382,FAIL
383,EXC
384,EXC
385,EXC
386,FAIL
387,FAIL
388,FAIL
389,FAIL
390,EXC
391,LIVE
392,LIVE
393,FAIL
394,FAIL
395,FAIL
396,FAIL
397,FAIL
398,FAIL
401,FAIL
402,EXC
403,EXC
404,EXC
405,FAIL
406,FAIL
407,FAIL
408,FAIL
409,FAIL
410,LIVE
411,FAIL
412,FAIL
413,FAIL
414,FAIL
415,FAIL
416,LIVE
417,FAIL
418,FAIL
419,FAIL
420,FAIL
421,FAIL
422,LIVE
423,FAIL
424,FAIL
425,LIVE
426,EXC
427,EXC
428,EXC
429,LIVE
430,FAIL
431,FAIL
432,EXC
433,EXC
434,EXC
435,EXC
436,EXC
437,FAIL
438,FAIL
439,FAIL
440,EXC
441,LIVE
442,EXC
443,FAIL
444,FAIL
445,EXC
446,LIVE
447,EXC
448,FAIL
449,FAIL
450,FAIL
451,FAIL
452,FAIL
453,FAIL
454,LIVE
455,EXC
456,EXC
457,EXC
458,LIVE
459,FAIL
460,FAIL
461,EXC
462,EXC
463,EXC
464,EXC
465,EXC
466,FAIL
467,FAIL
468,FAIL
469,LIVE
470,LIVE
471,FAIL
472,EXC
473,LIVE
474,EXC
475,FAIL
476,EXC
477,FAIL
478,FAIL
479,LIVE
480,LIVE
481,FAIL
482,LIVE
483,FAIL
484,LIVE
485,FAIL
486,FAIL
487,FAIL
488,LIVE
489,FAIL
490,FAIL
491,FAIL
492,EXC
493,EXC
494,EXC
495,EXC
496,EXC
497,FAIL
498,FAIL
499,FAIL
500,FAIL
501,FAIL
502,LIVE
503,LIVE
504,FAIL
505,EXC
506,LIVE
507,EXC
