MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,EXC
4,LIVE
5,LIVE
6,EXC
7,EXC
8,EXC
9,LIVE
10,LIVE
11,LIVE
12,FAIL
13,LIVE
14,EXC
15,FAIL
16,EXC
17,LIVE
18,FAIL
19,FAIL
20,LIVE
21,LIVE
22,FAIL
23,FAIL
24,LIVE
25,EXC
26,EXC
27,FAIL
28,EXC
29,FAIL
30,EXC
31,FAIL
32,FAIL
33,EXC
34,FAIL
35,EXC
36,EXC
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,EXC
44,LIVE
45,LIVE
46,LIVE
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,EXC
54,FAIL
55,LIVE
56,FAIL
57,EXC
58,FAIL
59,EXC
60,FAIL
61,LIVE
62,EXC
63,LIVE
64,EXC
65,FAIL
66,FAIL
67,EXC
68,FAIL
69,FAIL
70,EXC
71,FAIL
72,EXC
73,FAIL
74,FAIL
75,EXC
76,EXC
77,LIVE
78,FAIL
79,EXC
80,FAIL
81,EXC
82,FAIL
83,FAIL
84,FAIL
85,LIVE
86,FAIL
87,LIVE
88,EXC
89,EXC
90,EXC
91,EXC
92,FAIL
93,FAIL
94,LIVE
95,EXC
96,FAIL
97,FAIL
98,LIVE
99,FAIL
100,FAIL
101,EXC
102,FAIL
103,FAIL
104,LIVE
105,LIVE
106,LIVE
107,LIVE
108,EXC
109,LIVE
110,FAIL
111,FAIL
112,LIVE
113,FAIL
114,LIVE
115,TIME
116,TIME
117,TIME
118,TIME
119,LIVE
120,LIVE
121,TIME
122,FAIL
123,FAIL
124,TIME
125,TIME
126,FAIL
127,EXC
128,EXC
129,EXC
130,EXC
131,FAIL
132,EXC
133,LIVE
134,EXC
135,EXC
136,EXC
137,EXC
138,FAIL
139,LIVE
140,FAIL
141,FAIL
142,FAIL
143,LIVE
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,LIVE
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,EXC
157,FAIL
158,EXC
159,FAIL
160,FAIL
161,EXC
162,LIVE
163,LIVE
164,LIVE
165,LIVE
166,FAIL
167,FAIL
168,LIVE
169,FAIL
170,EXC
171,EXC
172,FAIL
173,LIVE
174,EXC
175,FAIL
176,EXC
177,FAIL
178,LIVE
