TestNo,TestName
1,com.google.javascript.jscomp.jsonml.SecureCompilerTest
2,com.google.javascript.jscomp.PeepholeOptimizationsPassTest
3,com.google.javascript.jscomp.PeepholeFoldWithTypesTest
4,com.google.javascript.jscomp.CreateSyntheticBlocksTest
5,com.google.javascript.jscomp.StatementFusionTest
6,com.google.javascript.jscomp.ExpandJqueryAliasesTest
7,com.google.javascript.jscomp.CompilerTest
8,com.google.javascript.jscomp.PeepholeCollectPropertyAssignmentsTest
9,com.google.javascript.jscomp.ExploitAssignsTest
10,com.google.javascript.jscomp.PeepholeIntegrationTest
11,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest
12,com.google.javascript.jscomp.PeepholeSimplifyRegExpTest
13,com.google.javascript.jscomp.ReorderConstantExpressionTest
14,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest
15,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest
16,com.google.javascript.jscomp.IntegrationTest
17,com.google.javascript.jscomp.CommandLineRunnerTest
18,com.google.javascript.jscomp.PeepholeFoldConstantsTest
