TestNo,TestName
1,com.google.javascript.jscomp.GlobalNamespaceTest
2,com.google.javascript.jscomp.SourceMapTest
3,com.google.javascript.jscomp.CheckRequiresForConstructorsTest
4,com.google.javascript.jscomp.SourceMap2Test
5,com.google.javascript.jscomp.ExternExportsPassTest
6,com.google.javascript.jscomp.RenamePropertiesTest
7,com.google.javascript.jscomp.NormalizeTest
8,com.google.javascript.jscomp.ProcessDefinesTest
9,com.google.javascript.jscomp.CheckGlobalNamesTest
10,com.google.javascript.jscomp.CollapsePropertiesTest
11,com.google.javascript.jscomp.CommandLineRunnerTest
