MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,EXC
4,FAIL
5,LIVE
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,LIVE
14,EXC
15,LIVE
16,LIVE
17,LIVE
18,EXC
20,LIVE
21,LIVE
22,LIVE
23,LIVE
24,LIVE
25,LIVE
26,FAIL
27,LIVE
28,FAIL
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,LIVE
35,FAIL
36,EXC
37,FAIL
38,LIVE
39,LIVE
40,LIVE
41,EXC
42,FAIL
43,EXC
44,EXC
45,FAIL
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,EXC
53,FAIL
54,EXC
55,FAIL
56,EXC
57,LIVE
58,EXC
59,FAIL
60,LIVE
61,FAIL
62,FAIL
63,EXC
64,FAIL
65,EXC
66,LIVE
67,EXC
68,FAIL
69,LIVE
70,FAIL
71,FAIL
72,LIVE
