MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,LIVE
4,FAIL
5,FAIL
6,EXC
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,EXC
12,EXC
13,EXC
14,LIVE
15,LIVE
16,LIVE
17,LIVE
18,FAIL
19,FAIL
20,EXC
21,FAIL
22,LIVE
23,FAIL
24,EXC
25,EXC
26,EXC
27,EXC
28,EXC
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,FAIL
34,LIVE
35,LIVE
36,LIVE
37,FAIL
38,FAIL
39,EXC
40,LIVE
41,EXC
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,FAIL
48,FAIL
49,EXC
50,LIVE
51,EXC
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,EXC
58,LIVE
59,FAIL
60,EXC
61,LIVE
62,EXC
63,FAIL
64,FAIL
65,FAIL
66,LIVE
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,LIVE
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,EXC
91,FAIL
92,FAIL
93,FAIL
94,LIVE
95,FAIL
96,FAIL
97,FAIL
98,LIVE
99,FAIL
100,FAIL
101,EXC
102,LIVE
103,EXC
104,FAIL
105,FAIL
106,LIVE
107,FAIL
108,LIVE
109,LIVE
110,LIVE
111,LIVE
112,FAIL
113,EXC
114,FAIL
115,FAIL
116,EXC
117,FAIL
118,FAIL
119,FAIL
120,FAIL
121,FAIL
122,LIVE
123,FAIL
124,FAIL
125,FAIL
126,FAIL
127,FAIL
128,LIVE
129,FAIL
130,FAIL
131,LIVE
132,FAIL
133,FAIL
134,LIVE
135,LIVE
136,FAIL
137,EXC
138,LIVE
139,EXC
140,FAIL
141,FAIL
142,EXC
143,LIVE
144,EXC
145,EXC
146,FAIL
147,LIVE
148,EXC
149,FAIL
150,EXC
151,LIVE
152,EXC
153,FAIL
154,FAIL
155,LIVE
156,LIVE
157,LIVE
158,LIVE
159,LIVE
160,FAIL
161,FAIL
162,EXC
163,FAIL
164,EXC
165,LIVE
166,EXC
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,EXC
181,FAIL
182,EXC
183,FAIL
184,EXC
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,FAIL
191,FAIL
192,LIVE
193,LIVE
194,FAIL
195,FAIL
196,FAIL
197,FAIL
198,LIVE
199,LIVE
200,FAIL
201,FAIL
202,FAIL
203,FAIL
204,EXC
205,FAIL
206,FAIL
207,FAIL
208,FAIL
209,FAIL
210,FAIL
211,FAIL
212,FAIL
213,FAIL
214,FAIL
215,FAIL
216,FAIL
217,EXC
218,LIVE
219,EXC
220,FAIL
221,FAIL
222,FAIL
223,FAIL
224,FAIL
225,EXC
226,FAIL
227,FAIL
228,EXC
229,FAIL
230,FAIL
231,FAIL
232,FAIL
233,FAIL
234,FAIL
235,FAIL
236,FAIL
237,EXC
238,LIVE
239,EXC
240,FAIL
241,FAIL
242,FAIL
243,FAIL
244,FAIL
245,FAIL
246,EXC
247,FAIL
248,EXC
249,FAIL
250,EXC
251,FAIL
252,FAIL
253,FAIL
254,EXC
255,FAIL
256,FAIL
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,FAIL
262,FAIL
263,FAIL
264,FAIL
265,FAIL
266,FAIL
267,FAIL
268,FAIL
269,EXC
270,FAIL
271,FAIL
272,FAIL
273,EXC
274,FAIL
275,FAIL
276,FAIL
277,TIME
278,TIME
279,FAIL
280,FAIL
281,EXC
282,FAIL
