MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,LIVE
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,LIVE
10,FAIL
11,LIVE
12,FAIL
13,LIVE
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,EXC
51,FAIL
52,LIVE
53,EXC
54,FAIL
55,FAIL
56,FAIL
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,EXC
79,EXC
80,LIVE
81,EXC
82,EXC
83,LIVE
84,EXC
85,EXC
86,EXC
87,LIVE
88,LIVE
89,EXC
90,LIVE
91,LIVE
92,EXC
93,EXC
94,LIVE
95,EXC
96,EXC
97,EXC
98,LIVE
99,LIVE
100,EXC
101,LIVE
102,LIVE
103,EXC
104,EXC
105,LIVE
106,EXC
107,EXC
108,EXC
109,LIVE
110,LIVE
111,EXC
112,EXC
113,LIVE
114,EXC
115,EXC
116,LIVE
117,EXC
118,LIVE
119,EXC
120,EXC
121,EXC
122,EXC
123,EXC
124,LIVE
125,EXC
126,LIVE
127,EXC
128,LIVE
129,EXC
130,FAIL
131,EXC
132,LIVE
133,FAIL
134,LIVE
135,EXC
136,LIVE
137,EXC
138,LIVE
139,EXC
140,LIVE
141,EXC
142,FAIL
143,LIVE
144,LIVE
145,FAIL
146,FAIL
147,LIVE
148,LIVE
149,EXC
150,FAIL
151,EXC
152,FAIL
153,FAIL
154,LIVE
155,EXC
156,LIVE
157,EXC
158,LIVE
159,EXC
160,LIVE
161,EXC
162,LIVE
163,EXC
164,LIVE
165,EXC
166,FAIL
167,LIVE
168,LIVE
169,FAIL
170,LIVE
171,EXC
172,LIVE
173,EXC
174,LIVE
175,EXC
176,LIVE
177,EXC
178,LIVE
179,LIVE
180,LIVE
181,EXC
182,FAIL
183,LIVE
184,LIVE
185,FAIL
186,FAIL
187,LIVE
188,EXC
189,FAIL
190,FAIL
191,EXC
192,FAIL
193,EXC
194,EXC
195,EXC
196,FAIL
197,EXC
198,LIVE
199,EXC
200,LIVE
201,EXC
202,LIVE
203,EXC
204,LIVE
205,EXC
206,FAIL
207,LIVE
208,LIVE
209,FAIL
210,FAIL
211,EXC
212,FAIL
213,EXC
214,FAIL
215,EXC
216,FAIL
217,EXC
218,FAIL
219,LIVE
220,FAIL
