MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,EXC
5,EXC
6,EXC
7,FAIL
8,EXC
9,EXC
10,LIVE
11,LIVE
12,LIVE
13,FAIL
14,EXC
15,EXC
16,FAIL
17,EXC
18,EXC
19,LIVE
20,EXC
21,FAIL
22,EXC
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,EXC
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,LIVE
43,FAIL
44,FAIL
45,LIVE
46,LIVE
47,FAIL
48,LIVE
49,LIVE
50,FAIL
51,FAIL
52,EXC
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,FAIL
58,LIVE
59,FAIL
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,FAIL
67,FAIL
68,FAIL
69,LIVE
70,FAIL
71,LIVE
72,FAIL
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,LIVE
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,LIVE
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,LIVE
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,LIVE
101,FAIL
102,LIVE
103,LIVE
104,FAIL
105,FAIL
106,FAIL
107,LIVE
108,LIVE
109,FAIL
110,LIVE
111,LIVE
112,FAIL
113,FAIL
114,FAIL
115,LIVE
116,LIVE
117,FAIL
118,LIVE
119,LIVE
120,FAIL
121,FAIL
122,FAIL
123,LIVE
124,LIVE
125,FAIL
126,LIVE
127,LIVE
128,FAIL
129,FAIL
130,LIVE
131,FAIL
132,FAIL
133,LIVE
134,EXC
135,FAIL
136,FAIL
137,EXC
138,FAIL
139,FAIL
140,FAIL
141,FAIL
142,EXC
143,EXC
144,FAIL
145,EXC
146,FAIL
147,EXC
148,EXC
149,EXC
150,EXC
151,EXC
152,EXC
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
